Employee id,Title,First Name,Last Name,Age,Experience,Region,Email id
ASM-001,Mr.,John,Himes,27,8,North,john.himes5@brineworks.com
ASM-002,Mr.,Bobby,Migl,26,5,West,bobby.migl11@brineworks.com
ASM-003,Ms.,Stephanie,Ochoa,47,19,West,stephanie.ochoa12@brineworks.com
ASM-004,Ms.,Rose,Fredericks,44,14,South,rose.fredericks54@brineworks.com
ASM-005,Mr.,Bruce,Beedle,41,23,West,bruce.beedle53@brineworks.com
ASM-006,Mr.,Brett,Beggs,23,1,North,brett.beggs53@brineworks.com
ASM-007,Mr.,James,Copas,51,0,East,james.copas89@brineworks.com
ASM-008,Ms.,Geneva,Stone,31,11,South,geneva.stone98@brineworks.com
ASM-009,Ms.,Mary,Lagasse,24,3,South,mary.lagasse29@brineworks.com
ASM-010,Ms.,Lisa,Lee,23,4,South,lisa.lee46@brineworks.com
ASM-011,Mr.,Dwight,Thompson,49,19,North,dwight.thompson90@brineworks.com
ASM-012,Ms.,Annie,Patch,30,6,South,annie.patch40@brineworks.com
ASM-013,Ms.,Francine,Duncan,43,9,West,francine.duncan50@brineworks.com
ASM-014,Ms.,Susan,Barrows,29,4,South,susan.barrows2@brineworks.com
ASM-015,Ms.,Terri,Reik,50,4,West,terri.reik1@brineworks.com
ASM-016,Mr.,John,Marro,35,16,West,john.marro30@brineworks.com
ASM-017,Mr.,John,Brus,40,15,North,john.brus1@brineworks.com
ASM-018,Mr.,Anthony,Erickson,22,2,North,anthony.erickson63@brineworks.com
ASM-019,Ms.,Florence,Ladage,31,7,North,florence.ladage89@brineworks.com
ASM-020,Ms.,Betty,Hamblen,23,0,West,betty.hamblen61@brineworks.com
ASM-021,Ms.,Lori,Gordon,54,7,West,lori.gordon86@brineworks.com
ASM-022,Ms.,Carrie,Knapp,60,21,South,carrie.knapp56@brineworks.com
ASM-023,Mr.,Terrence,Brown,27,0,North,terrence.brown93@brineworks.com
ASM-024,Ms.,Caron,Little,50,22,East,caron.little61@brineworks.com
ASM-025,Ms.,Shelley,Krieger,39,2,North,shelley.krieger2@brineworks.com
ASM-026,Mr.,Keith,Rodriguez,49,28,West,keith.rodriguez83@brineworks.com
